link_order,source_component,relation_type,target_component,bidirectional,description
1,GNSS / GPS Receiver,Provides positioning input to,Navigation Data Integration Tool,0,Supports route awareness and positioning fusion by providing GNSS/GPS positioning data to the navigation data integration function.
2,AIS Interface,Provides vessel identity and traffic-awareness input to,Navigation Data Integration Tool,0,Provides AIS-based vessel identity and traffic-awareness data to support navigation integration and situational picture construction.
3,ENC Data Service,Provides chart and route-planning data to,Navigation Data Integration Tool,0,Provides electronic chart and route-planning data to support route planning and chart-based navigation awareness.
4,RADAR / ARPA System,Provides obstacle detection and tracking input to,Navigation Support and Situational Awareness Module,0,Provides obstacle detection and target-tracking information to support situational awareness and hazard interpretation.
5,LiDAR,Provides environmental sensing input to,Data Integration and Analysis Module,0,"Provides environmental sensing data to support perception, local awareness, and sensor fusion in the data integration and analysis process."
6,Sonar,Provides underwater and environmental sensing input to,Data Integration and Analysis Module,0,Provides underwater and environmental sensing data to support environmental perception and integrated situational analysis.
7,Infrared Camera System,Provides low-visibility sensing input to,Data Integration and Analysis Module,0,Provides low-visibility and night-time sensing data to support perception and awareness in degraded visibility conditions.
8,Weather Transmission System,Provides environmental and weather data to,Data Integration and Analysis Module,0,"Provides weather and environmental data used for navigation planning, operational awareness, and downstream decision-support functions."
9,Echo Sounder,Provides depth and environment data to,Navigation Support and Situational Awareness Module,0,Provides depth and environmental information to support safe navigation awareness and interpretation of the vessel’s surroundings.
10,Gyroscope Compass,Provides heading reference to,Navigation Support and Situational Awareness Module,0,Provides directional and heading-reference information to support situational interpretation and navigation awareness.
11,Heading and Speed Sensor,Provides vessel motion-state input to,Autonomous Navigation Decision Module,0,Provides heading and speed information used by the autonomous navigation decision process for maneuvering and route execution.
12,Navigation Data Integration Tool,Provides integrated navigation inputs to,Data Integration and Analysis Module,0,"Transfers integrated navigation data from GNSS, AIS, ENC, RADAR, and related sources toward higher decision-support and data-fusion functions."
