"Layer","Component","Class / Category","Description","Priority for Pilot"
"Layer 1","GNSS / GPS Receiver","Navigation System","Provides vessel positioning and navigation data used by higher-level decision and navigation functions.","Yes"
"Layer 1","AIS Interface","Navigation System","Supports vessel identification and maritime traffic awareness through AIS-related data exchange.","Yes"
"Layer 1","ENC Data Service","Navigation System","Provides chart and route-planning data for route awareness and navigation support.","Medium"
"Layer 1","RADAR / ARPA System","Navigation System","Supports obstacle detection, target tracking, and navigation support.","Yes"
"Layer 1","Navigation Data Integration Tool","Navigation System","Integrates multiple navigation inputs for route planning and navigation support.","Yes"
"Layer 1","Satellite Communication System","Communication System","Supports vessel-to-shore and long-range communications.","Yes"
"Layer 1","RF / VHF / UHF Communication Module","Communication System","Supports radio-frequency communications and maritime coordination.","Yes"
"Layer 1","Vessel Traffic Services Interface","Communication System","Supports communication with external maritime traffic services.","Yes"
"Layer 1","Remote Control Center Communication Interface","Communication System","Connects the vessel with the remote control center for supervision, command exchange, and remote intervention.","Yes"
"Layer 1","GMDSS","Communication System","Supports emergency and safety communication functions.","Yes"
"Layer 1","Controllable Pitch Propeller","Propulsion and Steering System","Supports propulsion and maneuvering.","Medium"
"Layer 1","Rudder Angle Indicator","Propulsion and Steering System","Provides steering-state information to control and feedback functions.","Medium"
"Layer 1","Electric / Hybrid Propulsion System","Propulsion and Steering System","Provides vessel propulsion capability.","Yes"
"Layer 1","Steering Gear System","Propulsion and Steering System","Executes steering-related control actions derived from navigation and avoidance decisions.","Yes"
"Layer 1","Engine Control Mechanism","Propulsion and Steering System","Supports propulsion management and actuation in response to vessel control decisions.","Yes"
"Layer 1","LiDAR","Sensor and Data Acquisition System","Provides environmental sensing for perception and awareness.","Yes"
"Layer 1","Sonar","Sensor and Data Acquisition System","Provides underwater and environmental sensing.","Medium"
"Layer 1","Infrared Camera System","Sensor and Data Acquisition System","Supports low-visibility and night-time sensing.","Medium"
"Layer 1","Weather Transmission System","Sensor and Data Acquisition System","Provides environmental and weather-related data inputs.","Medium"
"Layer 1","Echo Sounder","Sensor and Data Acquisition System","Provides depth and environment information.","Medium"
"Layer 1","Gyroscope Compass","Sensor and Data Acquisition System","Provides directional and heading reference.","Medium"
"Layer 1","Heading and Speed Sensor","Sensor and Data Acquisition System","Provides vessel motion-state information.","Yes"
"Layer 2","Autonomous Decision-Making Engine","Decision-Making and Autonomy","Core autonomy logic responsible for route, maneuvering, and control-related reasoning.","Yes"
"Layer 2","Feedback Control Module","Decision-Making and Autonomy","Continuously refines and adjusts decisions based on observed outcomes and system behavior.","Medium"
"Layer 2","Vessel Traffic Services Decision Integration","Decision-Making and Autonomy","Integrates traffic-management information into decision-making logic.","Medium"
"Layer 2","Machine Learning and Adaptive Algorithm Module","Decision-Making and Autonomy","Supports learning-based prediction, adaptation, and AI-assisted decision refinement.","Yes"
"Layer 2","Human Override Control Interface","Decision-Making and Autonomy","Enables human or supervisory intervention in critical situations.","Yes"
"Layer 2","Internal Data Pipeline / Integration Module","Decision-Making and Autonomy","Manages trusted data exchange between operational and decision-support layers.","Yes"
"Layer 2","Target Model","Decision-Making and Autonomy","Represents the deployed AI/ML model used in autonomous reasoning.","Yes"
"Layer 2","Training Data Asset","Decision-Making and Autonomy","Represents training data that supports AI/ML model development and updates.","Yes"
"Layer 3","Data Integration and Analysis Module","Decision Inputs and Decision-Support Functions","Aggregates and analyzes sensor, communication, and autonomy-related inputs into a unified operational picture.","Yes"
"Layer 3","Autonomous Navigation Decision Module","Decision Inputs and Decision-Support Functions","Computes route adjustments, maneuvering choices, and navigational actions from integrated information.","Yes"
"Layer 3","Collision Avoidance System","Decision Inputs and Decision-Support Functions","Identifies hazards and generates avoidance actions to maintain safe vessel operation.","Yes"
"Layer 3","Navigation Support and Situational Awareness Module","Decision Inputs and Decision-Support Functions","Maintains situational awareness by interpreting multiple navigation-related inputs.","Yes"
