"Layer","Attack Type","Candidate MITRE Framework","Candidate Technique / Mapping","Notes"
"Layer 1","","","",""
"Layer 1","Eavesdropping","ATT&CK","T1040 – Network Sniffing","Best general fit"
"Layer 1","Eavesdropping","ATT&CK ICS","Wireless sniffing interpretation","Use if wireless interception emphasis is strong"
"Layer 1","Ghost ships and false information injection","ATT&CK ICS","T0856 – Spoof Reporting Message","Strong fit for false telemetry and reporting"
"Layer 1","RF signal disruption","ATT&CK","T1498 – Network Denial of Service","Availability-focused communication attack"
"Layer 1","RF signal disruption","ATT&CK ICS","T0826 – Loss of Availability","Good consequence-oriented mapping"
"Layer 1","Man-in-the-middle attacks","ATT&CK ICS","T0830 – Adversary-in-the-Middle","Strong OT and ICS fit"
"Layer 1","DoS and DDoS attacks","ATT&CK","T1498 – Network Denial of Service","Network-level service disruption"
"Layer 1","DoS and DDoS attacks","ATT&CK","T1499 – Endpoint Denial of Service","Endpoint and service exhaustion"
"Layer 1","DoS and DDoS attacks","ATT&CK ICS","T0813 – Denial of Control","Use when operational control is degraded"
"Layer 1","DoS and DDoS attacks","ATT&CK ICS","T0826 – Loss of Availability","Use when core service availability is lost"
"Layer 1","Spoofing and jamming","ATT&CK ICS","T0856 – Spoof Reporting Message","Strong fit for falsified reporting and navigation data"
"Layer 1","Spoofing and jamming","ATT&CK","T1498 – Network Denial of Service","Good for disruption and jamming side"
"Layer 1","Unauthorized access and emergency protocol tampering","ATT&CK","T1078 – Valid Accounts","Best general access-abuse fit"
"Layer 1","Unauthorized access and emergency protocol tampering","ATT&CK ICS","T0812 – Default Credentials","Use where unchanged defaults matter"
"Layer 1","False data transmission and identity manipulation","ATT&CK ICS","T0856 – Spoof Reporting Message","Best fit for falsified operational data"
"Layer 1","False data transmission and identity manipulation","ATT&CK ICS","T0830 – Adversary-in-the-Middle","Use when data is altered in transit"
"Layer 2","","","",""
"Layer 2","Backdoor attacks and software dependency exploits","ATLAS","AML.T0018 – Backdoor ML Model","Strong fit"
"Layer 2","Backdoor attacks and software dependency exploits","ATLAS","AML.T0031 – Erode Model Integrity","Supporting mapping"
"Layer 2","Supply chain and machine learning lifecycle attacks","ATLAS","AML.T0010.003 – ML Supply Chain Compromise: Model","Strong fit"
"Layer 2","Supply chain and machine learning lifecycle attacks","ATLAS","AML.T0012 – Valid Accounts","Use when weak access enables compromise"
"Layer 2","Supply chain and machine learning lifecycle attacks","ATLAS","AML.T0055 – Unsecured Credentials","Access-control supporting mapping"
"Layer 2","Evasion through deep learning model manipulation","ATLAS","AML.T0031 – Erode Model Integrity","Strong candidate"
"Layer 2","Model stealing","ATLAS","AML.T0040 – AI Model Inference API Access","Good fit for extraction through interfaces"
"Layer 2","Physical-domain manipulation","ATLAS","AML.T0041 – Physical Environment Access","Strong fit"
"Layer 2","Model inversion and membership inference","ATLAS","AML.T0040 – AI Model Inference API Access","Best candidate from current mapping"
"Layer 2","Clean-label poisoning attacks","ATLAS","AML.T0020 – Poison Training Data","Strong fit"
"Layer 2","Perturbation attacks","ATLAS","AML.T0031 – Erode Model Integrity","Best current candidate"
"Layer 2","Reprogramming and poisoning","ATLAS","AML.T0020 – Poison Training Data","Strong fit"
"Layer 2","Reprogramming and poisoning","ATLAS","AML.T0031 – Erode Model Integrity","Supporting mapping"
"Layer 2","Decision input tampering","ATT&CK","T1565 – Data Manipulation","Supporting generic mapping"
"Layer 3","","","",""
"Layer 3","IBS data manipulation","ATT&CK ICS","T0856 – Spoof Reporting Message","Strong fit for false integrated operational data"
"Layer 3","IBS data manipulation","ATT&CK ICS","T0830 – Adversary-in-the-Middle","Use when altered in transit"
"Layer 3","Adversarial data manipulation","ATT&CK","T1565 – Data Manipulation","Best generic fit"
"Layer 3","DoS and DDoS attacks","ATT&CK","T1498 – Network Denial of Service","Network and service disruption"
"Layer 3","DoS and DDoS attacks","ATT&CK","T1499 – Endpoint Denial of Service","Endpoint and service exhaustion"
"Layer 3","DoS and DDoS attacks","ATT&CK ICS","T0826 – Loss of Availability","Strong consequence mapping"
"Layer 3","Man-in-the-middle attacks","ATT&CK ICS","T0830 – Adversary-in-the-Middle","Strong fit"
"Layer 3","Sensor deception","ATT&CK","T1565 – Data Manipulation","Best generic fit"
"Layer 3","Sensor deception","ATT&CK ICS","T0856 – Spoof Reporting Message","Use when false reporting-style data is injected"
"Layer 3","Compromised navigation-data inputs","ATT&CK","T1565 – Data Manipulation","Good general mapping"
"Layer 3","Compromised navigation-data inputs","ATT&CK ICS","T0856 – Spoof Reporting Message","Good fit for falsified navigation reporting"
"Layer 3","Path planning and trajectory optimization exploitation","ATT&CK / ATLAS","Trace to root cause","Map back to manipulated input, MitM, poisoning, or model degradation"
"Layer 3","Coordinated and overwhelming alerts","ATT&CK / ATLAS","Trace to root cause","Treat as propagated effect rather than forced standalone mapping"
