"Layer","Component","Matrix","Mitigation","Coverage","Efficiency (%)","Comment"
"Layer 1","GNSS / GPS Receiver","ICS","Validate Program Inputs","Yes","50","Position, time, speed, and course values are checked for valid range, freshness, continuity, rate of change, and consistency with the vessel's expected motion before use."
"Layer 1","GNSS / GPS Receiver","ICS","Redundancy of Service","Yes","50","Alternative navigation references such as gyroscope, heading and speed measurements, RADAR/ARPA, and dead-reckoning estimates support continued positioning when GNSS data is unavailable or rejected."
"Layer 1","GNSS / GPS Receiver","EMB3D","Network Timestamps","Yes","50","GNSS-derived navigation messages include synchronized timestamps so stale, delayed, duplicated, or replayed positioning data can be rejected."
"Layer 1","GNSS / GPS Receiver","ICS","Watchdog Timers","Yes","25","The GNSS receiver and positioning-data interface are monitored for missing updates, abnormal update intervals, and unresponsive states."
"Layer 1","GNSS / GPS Receiver","EMB3D","Security-relevant Auditing and Logging","Yes","25","Positioning anomalies, rejected measurements, signal-loss events, timing inconsistencies, and transitions to alternative navigation sources are recorded."
"Layer 1","AIS Interface","ICS","Validate Program Inputs","Yes","50","AIS reports are checked for valid structure, geographic plausibility, vessel-motion consistency, freshness, identity conflicts, and consistency with RADAR/ARPA and other situational-awareness sources."
"Layer 1","AIS Interface","ICS","Communication Authenticity","Yes","50","AIS data forwarded from the receiver interface to internal navigation services is protected through sender authentication and message-integrity verification."
"Layer 1","AIS Interface","EMB3D","Network Timestamps","Yes","50","Internally forwarded AIS observations include synchronized timestamps so stale, delayed, duplicated, or replayed reports can be rejected."
"Layer 1","AIS Interface","ICS","Network Segmentation","Yes","50","AIS reception and parsing functions are isolated from core autonomy and control networks, and only required validated data flows are forwarded."
"Layer 1","AIS Interface","EMB3D","Security-relevant Auditing and Logging","Yes","25","Malformed reports, implausible vessel movements, identity conflicts, stale messages, authentication failures, and rejected AIS observations are recorded."
"Layer 1","ENC Data Service","ICS","Validate Program Inputs","Yes","50","ENC files and route-planning data are checked for valid structure, geographic coverage, scale, edition, update sequence, coordinate consistency, and permitted value ranges before use."
"Layer 1","ENC Data Service","EMB3D","Authenticate Network Messages","Yes","75","ENC updates and route-planning messages are accepted only when their source authenticity and message integrity are successfully verified."
"Layer 1","ENC Data Service","EMB3D","Network Timestamps","Yes","50","ENC updates and exchanged route data include timestamps and sequence information so stale, delayed, duplicated, or replayed content can be rejected."
"Layer 1","ENC Data Service","ICS","Restrict File and Directory Permissions","Yes","50","ENC files, update packages, route plans, and related configuration directories are writable only by authorized update and navigation-management processes."
"Layer 1","ENC Data Service","EMB3D","Encrypt and Authenticate Non-volatile Storage Contents","Yes","50","Stored ENC datasets and route-planning information are protected against unauthorized reading and modification through authenticated storage protection."
"Layer 1","ENC Data Service","EMB3D","Security-relevant Auditing and Logging","Yes","25","ENC imports, update attempts, integrity failures, rejected files, version changes, permission violations, and route-data modifications are recorded."
"Layer 1","RADAR / ARPA System","ICS","Validate Program Inputs","Yes","50","RADAR and ARPA observations are checked for valid range, freshness, track continuity, physically plausible motion, duplicate targets, and consistency with AIS, LiDAR, and other navigation sources before use."
"Layer 1","RADAR / ARPA System","ICS","Redundancy of Service","Yes","50","AIS, LiDAR, infrared sensing, and other navigation sources provide corroborating and degraded-mode awareness when RADAR or ARPA observations are unavailable or rejected."
"Layer 1","RADAR / ARPA System","EMB3D","Authenticate Network Messages","Yes","50","Internally transmitted RADAR plots, tracks, and status messages are accepted only when their source authenticity and message integrity are successfully verified."
"Layer 1","RADAR / ARPA System","EMB3D","Network Timestamps","Yes","50","RADAR plots and track updates include synchronized timestamps so stale, delayed, duplicated, or replayed observations can be rejected."
"Layer 1","RADAR / ARPA System","ICS","Watchdog Timers","Yes","25","RADAR scanning, track-update, and interface-processing cycles are monitored so missing updates or unresponsive operation triggers fault handling."
"Layer 1","RADAR / ARPA System","EMB3D","Security-relevant Auditing and Logging","Yes","25","Rejected targets, cross-sensor conflicts, missing scans, authentication failures, track anomalies, and transitions to degraded operation are recorded."
"Layer 1","Navigation Data Integration Tool","ICS","Validate Program Inputs","Yes","50","Navigation inputs are checked for valid structure, operational range, freshness, sequence, source consistency, and agreement with related navigation data before integration."
"Layer 1","Navigation Data Integration Tool","EMB3D","Authenticate Network Messages","Yes","75","Navigation messages are accepted only when their source authenticity and message integrity are successfully verified before integration."
"Layer 1","Navigation Data Integration Tool","EMB3D","Network Timestamps","Yes","50","Navigation messages include synchronized timestamps so stale, delayed, duplicated, or replayed data can be rejected."
"Layer 1","Navigation Data Integration Tool","ICS","Network Segmentation","Yes","50","The navigation-integration service is isolated from external and non-essential networks, and only required component-to-component data flows are permitted."
"Layer 1","Navigation Data Integration Tool","EMB3D","Runtime System Integrity Checking","Yes","50","Integration executables, data schemas, mapping rules, routing logic, and configuration files are checked for unauthorized modification during operation."
"Layer 1","Navigation Data Integration Tool","EMB3D","Security-relevant Auditing and Logging","Yes","25","Rejected inputs, authentication failures, source conflicts, stale messages, mapping changes, abnormal data flows, and service interruptions are recorded."
"Layer 1","Satellite Communication System","ICS","Encrypt Network Traffic","Yes","75","Ship-to-shore satellite communication traffic is protected using strong encryption to prevent unauthorized disclosure of operational and supervisory information."
"Layer 1","Satellite Communication System","ICS","Communication Authenticity","Yes","75","Satellite communication sessions authenticate communicating endpoints and verify message integrity before operational data or commands are accepted."
"Layer 1","Satellite Communication System","ICS","Filter Network Traffic","Yes","50","Ingress and egress satellite traffic is restricted to approved protocols, services, endpoints, message types, and expected communication patterns."
"Layer 1","Satellite Communication System","ICS","Network Segmentation","Yes","50","The satellite communication gateway is separated from navigation, autonomy, and control networks, with only required data flows permitted across the boundary."
"Layer 1","Satellite Communication System","EMB3D","Network Request Processing Limits","Yes","50","Connection, message-rate, bandwidth, queue, and processing limits reduce resource exhaustion caused by abnormal or excessive satellite-link traffic."
"Layer 1","Satellite Communication System","ICS","Redundancy of Service","Yes","50","Alternative communication paths and degraded-mode procedures maintain essential coordination when the primary satellite communication service is unavailable."
