"Layer","Component","Existing Mitigation","Notes"
"Layer 1","GNSS / GPS Receiver","Input plausibility checks and cross-validation with alternative navigation sources","Supports detection of spoofed or inconsistent positioning data"
"Layer 1","AIS Interface","Validation of AIS data against RADAR and situational inputs","Supports detection of false vessel identity and reporting"
"Layer 1","ENC Data Service","Integrity verification of chart and route-planning data","Important for route-planning trust"
"Layer 1","RADAR / ARPA System","Sensor consistency checking and cross-source comparison","Reduces impact of deceptive or manipulated returns"
"Layer 1","Navigation Data Integration Tool","Input validation, sanity checks, and anomaly filtering","Helps reduce propagation of corrupted navigation data"
"Layer 1","Satellite Communication System","Authenticated and encrypted communication sessions","Protects confidentiality and integrity of ship-to-shore communications"
"Layer 1","RF / VHF / UHF Communication Module","Protected radio procedures and monitored communication channels","Limited protection against interception and jamming"
"Layer 1","Vessel Traffic Services Interface","Validation of external traffic-service inputs","Reduces trust in unverified external traffic data"
"Layer 1","Remote Control Center Communication Interface","Access control, authentication, and protected remote sessions","High-value interface requiring stronger evidence later"
"Layer 1","GMDSS","Protected emergency communication procedures, communication monitoring, and fallback communication readiness","Safety communications must remain available"
"Layer 1","Controllable Pitch Propeller","Command authorization through upstream control path","Impacted operational asset rather than main cyber entry point"
"Layer 1","Rudder Angle Indicator","Signal validation and consistency monitoring","Supports steering-state integrity"
"Layer 1","Electric / Hybrid Propulsion System","Protected control pathway, operational safeguards, and configuration protection","Operationally critical subsystem"
"Layer 1","Steering Gear System","Access control and command authorization","Safety-critical actuation must be protected"
"Layer 1","Engine Control Mechanism","Access control, command authorization, restricted administrative privileges, and configuration protection","Strong ICS-like control target"
"Layer 1","LiDAR","Sensor fusion and anomaly detection","Useful against deceptive sensing"
"Layer 1","Sonar","Input validation and fusion-based cross-checking","Supports environmental data trust"
"Layer 1","Infrared Camera System","Sensor validation and confidence filtering","Supports degraded-visibility awareness"
"Layer 1","Weather Transmission System","Source validation and integrity checking","Supports planning input quality"
"Layer 1","Echo Sounder","Input plausibility checking","Helps trust depth and environment readings"
"Layer 1","Gyroscope Compass","Reference consistency monitoring","Protects heading trust"
"Layer 1","Heading and Speed Sensor","State-estimation cross-checking","Supports trusted motion-state data"
"Layer 2","Autonomous Decision-Making Engine","Rule-based safety constraints and supervisory checks","Constrains unsafe autonomy outputs"
"Layer 2","Feedback Control Module","Monitored control-loop behavior and bounded corrections","Reduces reinforcement of corrupted behavior"
"Layer 2","Vessel Traffic Services Decision Integration","Validation of external traffic-management inputs","Reduces influence of bad external data"
"Layer 2","Machine Learning and Adaptive Algorithm Module","Model validation, controlled updates, adversarial testing, dependency review, and secure development practices","Main AI lifecycle mitigation"
"Layer 2","Human Override Control Interface","Strong access control and supervisory authorization","Highly sensitive intervention path"
"Layer 2","Internal Data Pipeline / Integration Module","Integrity checks, trusted internal transfer controls, and monitored inter-layer exchange","Important inter-layer trust boundary"
"Layer 2","Target Model","Model validation, controlled deployment, and integrity monitoring","Protects deployed AI logic"
"Layer 2","Training Data Asset","Dataset review, provenance checks, controlled update process, and data-ingestion validation","Important against poisoning risk"
"Layer 3","Data Integration and Analysis Module","Input validation, confidence checks, and fusion rules","Main defense against corrupted fused picture"
"Layer 3","Autonomous Navigation Decision Module","Bounded navigation logic and policy/safety constraints","Helps reduce unsafe route generation"
"Layer 3","Collision Avoidance System","Conservative hazard thresholds, safety override logic, and fail-safe behavior","Safety-critical module"
"Layer 3","Navigation Support and Situational Awareness Module","Multi-source situational cross-checking and signal prioritization logic","Supports resilience against misleading or conflicting inputs"
