"Layer","Component","Relevant Attack Type","Short Rationale","Priority for Pilot"
"Layer 1","GNSS / GPS Receiver","Spoofing and jamming","Positioning source vulnerable to signal manipulation and disruption","Yes"
"Layer 1","GNSS / GPS Receiver","False data transmission and identity manipulation","False navigation data can corrupt route awareness","Yes"
"Layer 1","AIS Interface","Ghost ships and false information injection","AIS-facing component directly exposed to false vessel identity and reporting","Yes"
"Layer 1","AIS Interface","Spoofing and jamming","Maritime traffic awareness can be manipulated through spoofed signals","Yes"
"Layer 1","AIS Interface","False data transmission and identity manipulation","False AIS traffic data affects situational picture","Yes"
"Layer 1","ENC Data Service","False data transmission and identity manipulation","Route-planning data can be manipulated or falsified","Medium"
"Layer 1","ENC Data Service","Man-in-the-middle attacks","Data delivery path may be altered in transit","Medium"
"Layer 1","RADAR / ARPA System","Spoofing and jamming","Sensor and tracking system vulnerable to deceptive or disrupted signals","Yes"
"Layer 1","RADAR / ARPA System","False data transmission and identity manipulation","False targets or manipulated returns affect tracking","Yes"
"Layer 1","RADAR / ARPA System","RF signal disruption","Radar-related signals can be degraded","Medium"
"Layer 1","Navigation Data Integration Tool","False data transmission and identity manipulation","Integrates multiple navigation inputs and can propagate corrupted data","Yes"
"Layer 1","Navigation Data Integration Tool","Man-in-the-middle attacks","Input aggregation pipeline may be altered in transit","Medium"
"Layer 1","Satellite Communication System","DoS and DDoS attacks","Externally exposed communications channel vulnerable to availability disruption","Yes"
"Layer 1","Satellite Communication System","Eavesdropping","Ship-to-shore communications may be intercepted","Yes"
"Layer 1","Satellite Communication System","RF signal disruption","Satellite link can be degraded or interrupted","Yes"
"Layer 1","Satellite Communication System","Man-in-the-middle attacks","Communication sessions may be intercepted or modified","Yes"
"Layer 1","RF / VHF / UHF Communication Module","RF signal disruption","RF-facing component directly exposed to jamming and disruption","Yes"
"Layer 1","RF / VHF / UHF Communication Module","Eavesdropping","Radio communications may be intercepted","Yes"
"Layer 1","RF / VHF / UHF Communication Module","DoS and DDoS attacks","Communications availability can be degraded","Medium"
"Layer 1","RF / VHF / UHF Communication Module","Spoofing and jamming","False or disrupted RF traffic can impair coordination","Yes"
"Layer 1","Vessel Traffic Services Interface","DoS and DDoS attacks","External service interface can be made unavailable","Medium"
"Layer 1","Vessel Traffic Services Interface","Man-in-the-middle attacks","Traffic-service exchanges can be intercepted or altered","Medium"
"Layer 1","Vessel Traffic Services Interface","False data transmission and identity manipulation","False external traffic data can distort decisions","Yes"
"Layer 1","Remote Control Center Communication Interface","Unauthorized access and emergency protocol tampering","Remote interface is a natural access target","Yes"
"Layer 1","Remote Control Center Communication Interface","Man-in-the-middle attacks","RCC traffic can be intercepted and modified","Yes"
"Layer 1","Remote Control Center Communication Interface","DoS and DDoS attacks","RCC connectivity can be degraded or denied","Yes"
"Layer 1","Remote Control Center Communication Interface","Eavesdropping","RCC channel may expose sensitive control traffic","Yes"
"Layer 1","GMDSS","DoS and DDoS attacks","Safety-critical communications must remain available","Yes"
"Layer 1","GMDSS","Eavesdropping","Emergency and safety communications may be intercepted","Medium"
"Layer 1","GMDSS","RF signal disruption","RF-based emergency communication can be jammed","Yes"
"Layer 1","Controllable Pitch Propeller","Unauthorized access and emergency protocol tampering","Physical actuation can be misused through compromised upstream control","Medium"
"Layer 1","Rudder Angle Indicator","False data transmission and identity manipulation","Steering-state information can be falsified","Medium"
"Layer 1","Electric / Hybrid Propulsion System","Unauthorized access and emergency protocol tampering","Operational propulsion asset can be impacted through control misuse","Yes"
"Layer 1","Steering Gear System","Unauthorized access and emergency protocol tampering","Steering actuation is safety-critical","Yes"
"Layer 1","Engine Control Mechanism","Unauthorized access and emergency protocol tampering","Strong ICS-like control target","Yes"
"Layer 1","LiDAR","Spoofing and jamming","Sensor vulnerable to deceptive inputs","Yes"
"Layer 1","LiDAR","False data transmission and identity manipulation","False environmental sensing affects later layers","Yes"
"Layer 1","Sonar","False data transmission and identity manipulation","Environmental sensing can be manipulated","Medium"
"Layer 1","Infrared Camera System","False data transmission and identity manipulation","Sensor outputs can be manipulated or confused","Medium"
"Layer 1","Weather Transmission System","False data transmission and identity manipulation","Environmental data feed can be falsified","Medium"
"Layer 1","Weather Transmission System","DoS and DDoS attacks","Availability loss affects planning inputs","Medium"
"Layer 1","Echo Sounder","False data transmission and identity manipulation","Depth and environment information can be altered","Medium"
"Layer 1","Gyroscope Compass","False data transmission and identity manipulation","Direction reference corruption affects navigation","Medium"
"Layer 1","Heading and Speed Sensor","False data transmission and identity manipulation","Motion-state data directly affects maneuver decisions","Yes"
"Layer 2","Autonomous Decision-Making Engine","Evasion through deep learning model manipulation","Core reasoning logic vulnerable to adversarial behavioral shifts","Yes"
"Layer 2","Autonomous Decision-Making Engine","Perturbation attacks","Small input changes can degrade outputs","Yes"
"Layer 2","Autonomous Decision-Making Engine","Reprogramming and poisoning","Decision behavior can be biased through poisoned logic or data","Yes"
"Layer 2","Feedback Control Module","Decision-logic manipulation","Adaptive loops can reinforce corrupted behavior","Medium"
"Layer 2","Feedback Control Module","Backdoor attacks and software dependency exploits","Control refinement can be subverted through hidden logic","Medium"
"Layer 2","Vessel Traffic Services Decision Integration","False data transmission and identity manipulation","External traffic information can distort reasoning","Medium"
"Layer 2","Vessel Traffic Services Decision Integration","Decision input tampering","Integration logic depends on software and external data paths","Medium"
"Layer 2","Machine Learning and Adaptive Algorithm Module","Perturbation attacks","Main AI module consumes adversarial inputs","Yes"
"Layer 2","Machine Learning and Adaptive Algorithm Module","Clean-label poisoning attacks","Model behavior can be corrupted through subtle poisoned training data","Yes"
"Layer 2","Machine Learning and Adaptive Algorithm Module","Reprogramming and poisoning","Training or adaptation process can be compromised","Yes"
"Layer 2","Machine Learning and Adaptive Algorithm Module","Model stealing","Deployed AI capability can be extracted","Yes"
"Layer 2","Machine Learning and Adaptive Algorithm Module","Model inversion and membership inference","Exposed outputs may leak model or training information","Yes"
"Layer 2","Machine Learning and Adaptive Algorithm Module","Backdoor attacks and software dependency exploits","Hidden malicious behavior may be introduced","Yes"
"Layer 2","Machine Learning and Adaptive Algorithm Module","Supply chain and machine learning lifecycle attacks","AI lifecycle compromise is central to this module","Yes"
"Layer 2","Human Override Control Interface","Unauthorized access and emergency protocol tampering","Supervisory override path is highly sensitive","Yes"
"Layer 2","Internal Data Pipeline / Integration Module","Man-in-the-middle attacks","Internal trust boundary and inter-layer data exchange can be altered","Yes"
"Layer 2","Internal Data Pipeline / Integration Module","False data transmission and identity manipulation","Corrupted data flow undermines downstream autonomy","Yes"
"Layer 2","Target Model","Model stealing","Deployed model is a direct extraction target","Yes"
"Layer 2","Target Model","Model inversion and membership inference","Queryable model may leak internal information","Yes"
"Layer 2","Target Model","Backdoor attacks and software dependency exploits","Hidden malicious behavior may be embedded","Yes"
"Layer 2","Target Model","Evasion through deep learning model manipulation","Inference behavior can be deceived","Yes"
"Layer 2","Training Data Asset","Clean-label poisoning attacks","Training data can be poisoned without obvious anomalies","Yes"
"Layer 2","Training Data Asset","Reprogramming and poisoning","Direct training-set poisoning affects model behavior","Yes"
"Layer 2","Training Data Asset","Supply chain and machine learning lifecycle attacks","Dataset provenance and handling may be compromised","Yes"
"Layer 3","Data Integration and Analysis Module","IBS data manipulation","Integrated operational picture can be corrupted at ingestion and fusion stage","Yes"
"Layer 3","Data Integration and Analysis Module","Adversarial data manipulation","Fusion module is a prime target for altered inputs","Yes"
"Layer 3","Data Integration and Analysis Module","DoS and DDoS attacks","Input-fusion availability is critical","Yes"
"Layer 3","Data Integration and Analysis Module","Man-in-the-middle attacks","Data streams can be altered in transit","Yes"
"Layer 3","Data Integration and Analysis Module","Sensor deception","False sensor inputs undermine fused picture","Yes"
"Layer 3","Autonomous Navigation Decision Module","Adversarial data manipulation","Navigation actions depend on integrity of processed inputs","Yes"
"Layer 3","Autonomous Navigation Decision Module","Path planning and trajectory optimization exploitation","Route and maneuver logic can be distorted through manipulated inputs","Yes"
"Layer 3","Autonomous Navigation Decision Module","Coordinated and overwhelming alerts","Priority inversion can degrade navigation choices","Medium"
"Layer 3","Autonomous Navigation Decision Module","Compromised navigation-data inputs","Upstream corruption directly affects route actions","Yes"
"Layer 3","Collision Avoidance System","Adversarial data manipulation","Hazard-avoidance logic depends on trusted inputs","Yes"
"Layer 3","Collision Avoidance System","Sensor deception","False hazard perception can trigger unsafe decisions","Yes"
"Layer 3","Collision Avoidance System","Path planning and trajectory optimization exploitation","Avoidance maneuvers can be redirected unsafely","Yes"
"Layer 3","Collision Avoidance System","Coordinated and overwhelming alerts","False alarms may degrade real hazard response","Medium"
"Layer 3","Navigation Support and Situational Awareness Module","IBS data manipulation","Situational picture can be falsified","Yes"
"Layer 3","Navigation Support and Situational Awareness Module","Man-in-the-middle attacks","Input streams can be intercepted and modified","Yes"
"Layer 3","Navigation Support and Situational Awareness Module","Sensor deception","Interpretation layer vulnerable to deceptive sensing","Yes"
"Layer 3","Navigation Support and Situational Awareness Module","Compromised navigation-data inputs","Upstream data corruption distorts situational awareness","Yes"
