"Layer","Component","Threat / Vulnerability","Consequence","Impact Area","Rationale"
"Layer 1","GNSS / GPS Receiver","Spoofing and jamming","Loss of trusted positioning","Safety / Operational","False or degraded position affects route and maneuver decisions"
"Layer 1","GNSS / GPS Receiver","Data integrity weaknesses","Corrupted navigation input","Safety / Operational","Positioning errors propagate downstream"
"Layer 1","AIS Interface","Ghost ships and false information injection","Falsified traffic picture","Safety / Operational","False vessel presence or identity distorts situational awareness"
"Layer 1","AIS Interface","False data transmission and identity weaknesses","Misleading maritime identity and reporting","Operational / Safety","Traffic understanding depends on trusted vessel identity"
"Layer 1","ENC Data Service","False data transmission and identity manipulation","Unsafe route-planning basis","Operational / Safety","Falsified chart or route data affects navigation logic"
"Layer 1","ENC Data Service","Data integrity weaknesses","Corrupted chart and route-planning data","Operational / Safety","Manipulated chart information affects downstream route decisions"
"Layer 1","RADAR / ARPA System","Spoofing and jamming","Loss or corruption of obstacle detection","Safety","Tracking and hazard detection become unreliable"
"Layer 1","RADAR / ARPA System","Data integrity weaknesses","False or distorted target tracking","Safety / Operational","Tracking errors affect collision-related functions"
"Layer 1","Navigation Data Integration Tool","False data transmission and identity manipulation","Propagation of corrupted integrated navigation data","Safety / Operational","Bad inputs are amplified to later layers"
"Layer 1","Navigation Data Integration Tool","Integration with navigation weaknesses","Inconsistent navigational picture","Operational / Safety","Weak aggregation logic increases error propagation"
"Layer 1","Satellite Communication System","DoS and DDoS attacks","Loss of ship-to-shore communication availability","Operational / Safety","Remote coordination and monitoring degrade"
"Layer 1","Satellite Communication System","Eavesdropping","Exposure of sensitive communication content","Confidentiality / Operational","Ship-to-shore information may leak"
"Layer 1","RF / VHF / UHF Communication Module","RF signal disruption","Loss or degradation of radio communications","Operational / Safety","Coordination and communication reliability decrease"
"Layer 1","RF / VHF / UHF Communication Module","Absence of encryption and authentication","Increased exposure of radio traffic","Confidentiality / Operational","Weak protection increases interception and manipulation risk"
"Layer 1","Vessel Traffic Services Interface","False data transmission and identity manipulation","Distorted external traffic-service context","Operational / Safety","External traffic coordination becomes misleading"
"Layer 1","Vessel Traffic Services Interface","Communication protocol vulnerabilities","Untrusted service exchange","Operational / Safety","Traffic-service data may be altered or misused"
"Layer 1","Remote Control Center Communication Interface","Unauthorized access and emergency protocol tampering","Compromised remote supervision and control","Safety / Operational","High-value remote control path can be abused"
"Layer 1","Remote Control Center Communication Interface","Man-in-the-middle attacks","Altered remote command or monitoring traffic","Safety / Operational","Trust in RCC communications is broken"
"Layer 1","Remote Control Center Communication Interface","Confidentiality breaches","Exposure of control-related information","Confidentiality / Operational","Sensitive operational information may leak"
"Layer 1","GMDSS","RF signal disruption","Loss of emergency communication availability","Safety","Safety-critical emergency path becomes unavailable"
"Layer 1","GMDSS","Communication protocol vulnerabilities","Reduced trust in emergency communications","Safety / Operational","Poorly protected safety communications increase operational risk"
"Layer 1","Controllable Pitch Propeller","Weak protection of control and emergency functions","Unsafe propulsion-related actuation","Safety / Operational","Operational effect through compromised upstream control"
"Layer 1","Rudder Angle Indicator","False data transmission and identity manipulation","Incorrect steering-state awareness","Safety / Operational","False steering-state feedback affects control decisions"
"Layer 1","Electric / Hybrid Propulsion System","Weak protection of control and emergency functions","Unsafe propulsion behavior","Safety / Operational","Operationally critical propulsion asset may be misused"
"Layer 1","Steering Gear System","Weak protection of control and emergency functions","Loss or misuse of steering control","Safety / Operational","Safety-critical actuation path can be abused"
"Layer 1","Engine Control Mechanism","Unauthorized access","Compromised propulsion control","Safety / Operational","Critical control interface can be misused"
"Layer 1","Engine Control Mechanism","Weak protection of emergency functions","Modified safety or control logic","Safety / Operational","Unsafe control behavior may result"
"Layer 1","LiDAR","Spoofing and jamming","Misleading environmental perception","Safety","Perception errors affect downstream decisions"
"Layer 1","LiDAR","Data integrity weaknesses","Corrupted sensor output","Safety / Operational","False environmental data degrades situational awareness"
"Layer 1","Sonar","False data transmission and identity manipulation","Corrupted underwater and environment perception","Safety / Operational","False environmental sensing affects awareness"
