"Layer","Source Component","Relation Type","Target Component","Layer Flow","Notes"
"Layer 1","GNSS / GPS Receiver","Provides positioning input to","Navigation Data Integration Tool","Layer 1 -> Layer 1","Supports route awareness and positioning fusion by providing GNSS/GPS positioning data to the navigation data integration function."
"Layer 1","AIS Interface","Provides vessel identity and traffic-awareness input to","Navigation Data Integration Tool","Layer 1 -> Layer 1","Provides AIS-based vessel identity and traffic-awareness data to support navigation integration and situational picture construction."
"Layer 1","ENC Data Service","Provides chart and route-planning data to","Navigation Data Integration Tool","Layer 1 -> Layer 1","Provides electronic chart and route-planning data to support route planning and chart-based navigation awareness."
"Layer 1","RADAR / ARPA System","Provides obstacle detection and tracking input to","Navigation Support and Situational Awareness Module","Layer 1 -> Layer 3","Provides obstacle detection and target-tracking information to support situational awareness and hazard interpretation."
"Layer 1","LiDAR","Provides environmental sensing input to","Data Integration and Analysis Module","Layer 1 -> Layer 3","Provides environmental sensing data to support perception, local awareness, and sensor fusion in the data integration and analysis process."
"Layer 1","Sonar","Provides underwater and environmental sensing input to","Data Integration and Analysis Module","Layer 1 -> Layer 3","Provides underwater and environmental sensing data to support environmental perception and integrated situational analysis."
"Layer 1","Infrared Camera System","Provides low-visibility sensing input to","Data Integration and Analysis Module","Layer 1 -> Layer 3","Provides low-visibility and night-time sensing data to support perception and awareness in degraded visibility conditions."
"Layer 1","Weather Transmission System","Provides environmental and weather data to","Data Integration and Analysis Module","Layer 1 -> Layer 3","Provides weather and environmental data used for navigation planning, operational awareness, and downstream decision-support functions."
"Layer 1","Echo Sounder","Provides depth and environment data to","Navigation Support and Situational Awareness Module","Layer 1 -> Layer 3","Provides depth and environmental information to support safe navigation awareness and interpretation of the vessel’s surroundings."
"Layer 1","Gyroscope Compass","Provides heading reference to","Navigation Support and Situational Awareness Module","Layer 1 -> Layer 3","Provides directional and heading-reference information to support situational interpretation and navigation awareness."
"Layer 1","Heading and Speed Sensor","Provides vessel motion-state input to","Autonomous Navigation Decision Module","Layer 1 -> Layer 3","Provides heading and speed information used by the autonomous navigation decision process for maneuvering and route execution."
"Layer 1","Navigation Data Integration Tool","Provides integrated navigation inputs to","Data Integration and Analysis Module","Layer 1 -> Layer 3","Transfers integrated navigation data from GNSS, AIS, ENC, RADAR, and related sources toward higher decision-support and data-fusion functions."
"Layer 1","Satellite Communication System","Provides ship-to-shore communication to","Remote Control Center Communication Interface","Layer 1 -> Layer 1","Supports long-range ship-to-shore communication and connectivity between the autonomous vessel and remote supervision functions."
